mat_number;item_description_1;item_description_2;mat017_group
MAT01731041;Verschraubung, Messing, mehrfach;PG48;RC-K7
MAT01731042;Gehäuse, Stecker;ABB Sondergehäuse;RC-K3
MAT01731043;Stecker;12pol Buchse UT061412SH04, Bayonet;RC-K5
MAT01731044;Einlochdose;12pol Stift UT071412PH06, Bayonet;RC-K5
MAT01731045;Bandware Kontakt, Stift;AWG26-24 Crimp für Souriau UT0-Serie;RC-K6
MAT01731046;Bandware Kontakt, Stift;AWG20-22 Crimp für Souriau UT0-Serie SM2;RC-K6
MAT01731047;Bandware Kontakt, Stift;AWG18-16 Crimp für Souriau UT0-Serie;RC-K6
MAT01731048;Bandware Kontakt, Buchse;AWG26-24 Crimp für Souriau UT0-Serie;RC-K6
MAT01731049;Bandware Kontakt, Buchse;AWG20-22 Crimp für Souriau UT0-Serie;RC-K6
MAT0173105;CFIni-P3-M8-BG-10;M8,3pol.,Bu,gerade, beids, 10m;RC-L2
MAT01731050;Bandware Kontakt, Buchse;AWG18-16 Crimp für Souriau UT0-Serie;RC-K6
MAT01731051;Endgehäuse gerade;UT0S14JCPGN inkl.PG-Verschr. 6,5-13,5mm;RC-K7
MAT01731052;Endgehäuse gerade;UT0S14PG00T+ inkl.PG-Verschr. 5-12mm Kab;RC-K7
MAT01731053;Endgehäuse gewinkelt;UT0S14LPGN+ inkl.PG-Verschr. 5-12mm Kabe;RC-K7
MAT01731054;Endgehäuse gewinkelt;UTGS14LPGN+ inkl.PG-Verschr. 5-12mm Kabe;RC-K7
MAT01731055;Endgehäuse gerade;UT0S14JCS+ inkl.M20-Verschr. 7-10,5mm Ka;RC-K7
MAT01731056;Endgehäuse gerade;UT0S14JCSL+ inkl.M20-Verschr. 8-12,5mm K;RC-K7
MAT01731057;Stecker;Ventilstecker, Eco LED - 9,4mm² 24V 2+PE;RC-K2
MAT01731058;Deckel;"Schutzdeckel IP68 Größe ""104.27"" CGC 24";RC-K11
MAT01731059;Steckverbinder;Kabeldose 3+PE Schwarz Löt ohne Zugentla;RC-K2
MAT0173106;Steckverbinder;Rundsteckverbinder INS172/10;RC-K2
MAT01731060;Adapter;M20-Adapter GR.18 M20x1,5;RC-K2
MAT01731061;Steckverbinder;Kabeldose 3+PE Schwarz Löt ohne Zugentla;RC-K2
MAT01731062;Adapter;M25-Adapter GR.22 M25x1,5;RC-K2
MAT01731063;Steckverbinder;Kabeldose 3+PE Schwarz Löt ohne Zugentla;RC-K2
MAT01731064;Adapter;M40-Adapter GR.32 M40x1,5;RC-K2
MAT01731065;Federleiste;24pol +PE 0,08-4mm²;RC-K2
MAT01731066;Schlauchleitung;301SN-6 L=19560mm,1CA43-12-6,1CA43-12-6;RC-S1
MAT01731067;Schlauchleitung;301SN-6x19650mm 1CA43-12-6/1CA43-12-6;RC-S1
MAT01731068;C-Schiene;MAT01731068;RC-B1
MAT01731069;Schlauchleitung;301SN-6x8820mm 1CA43-12-6/1CA43-12-6;RC-S1
MAT0173107;Steckverbinder;Kabeldose PG13,5 , 3 + PE;RC-K2
MAT01731070;Litze;LIYV 0.25qmm - rosa;RC-L3
MAT01731071;Verbindungskabel;M12Sti.ger./M8Bu.gew. 3x0,25 2,0m;RC-L1
MAT01731072;Schlauchleitung;837BM-6-BLK-RL-22900mm;RC-S1
MAT01731073;Schlauchleitung;301SN-5x22,45m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731074;CF10.Ini-P5-C-M12-BG / M12-SG-3,47;M12,5pol Bu gerade, M12,5pol St gerade,;RC-L2
MAT01731075;Werkzeug;Hubzähler HK 35 RW Anzeige 5-stellig (Zg;RC-D1
MAT01731076;Werkzeug;Rapidteil Handzählerschiene (Zg.:60449.4;RC-D1
MAT01731077;Werkzeug;Kettengliedzähler (Zg.:60450.3);RC-D1
MAT01731078;siehe MAT01721773;PARKER 801-6-BLKx6440, beids. 3CA82-12-6;RC-S1
MAT01731079;siehe MAT01721774;PARKER 462-4x6440,beids. 1C946-8-4;RC-S1
MAT0173108;Steckverbinder;Kabelstecker PG13,5 , 3 + PE;RC-K2
MAT01731080;Power connector;3+PE, 16mm², Crimp contact;RC-K2
MAT01731081;Encoder connector;10pol., 0,25-1,5mm², Crimp contact;RC-K2
MAT01731082;Gehäuse, Kupplung;615, locktec;RC-K3
MAT01731083;Designhülse, Kupplung;615/915, locktec, Knickschutz 7,5-12mm;RC-K7
MAT01731084;Schlauchleitung;441-6x5800mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT01731085;Schlauchleitung;441-4x4350mm 2x 1CA48-8-4;RC-S1
MAT01731086;Schlauchleitung;441-6x4150mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT01731087;Schlauchleitung;441-6x6750mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT01731088;Schlauchleitung;441-6x6400mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT01731089;Schlauchleitung;441-6x5200mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT0173109;Steckverbinder;Stecker 7pol Stift löt  BKS-S47-00;RC-K2
MAT01731090;Schlauchleitung;441-10x5150mm 1CA48-18-10/1CA48-18-10;RC-S1
MAT01731091;Stecker, Kabeldose;6pol. + PE;RC-K2
MAT01731092;Stecker, Stift;5polig M12, für 6,5-8,5mm AD, gew, B-cod;RC-K2
MAT01731093;Schlauchleitung;441-6x5500mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT01731094;Stecker;M12, 5pol., Stift, ger., Schraubkl., 6-8;RC-K2
MAT01731095;Kabeldose;M12, 5pol., Buchse, ger., Schraubkl., 6-;RC-K2
MAT01731096;Werkzeug;Presswerkzeug 10-120mm² für nicht isolie;RC-D1
MAT01731097;Palette;1000/1000, 15mm stark, nach IPPC trocken;RC-D5
MAT01731098;Palette;1200/1200, 15mm stark, nach IPPC trocken;RC-D5
MAT01731099;Palette;1500/1500, 15mm stark, nach IPPC trocken;RC-D5
MAT0173110;Steckverbinder;Stecker 8pol Buchse crimp  BKS-S45-00;RC-K2
MAT01731100;Schlauchleitung;Wasserschlauch Rotstrich 16x3,5, WAS16-3;RC-S6
MAT01731101;Schlauchleitung;837BM-6-BLK-RL-17510mm;RC-S1
MAT01731102;Schlauchleitung;301SN-5x17,06m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731103;Schlauchleitung;837BM-6-BLK-RL-15900mm;RC-S1
MAT01731104;Schlauchleitung;301SN-5x15,45m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731105;Schlauchleitung;837BM-6-BLK-RL-10850mm;RC-S1
MAT01731106;Schlauchleitung;301SN-5x10,4m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731107;Gehäuse, Tülle;HAN-Eco 24B-gs-M40;RC-K3
MAT01731108;Gehäuse, Tülle;HAN-Eco 24B-gg-M40;RC-K3
MAT01731109;Schlauchtülle;44-0412;RC-K11
MAT0173111;siehe MAT0170888;Kabeldose mit Schirmring , 12pol.;RC-K2
MAT01731110;Schlauch Gewebe;Hansaflex PVC Geflechtschlauch 12 x 3mm;RC-S4
MAT01731111;Schlauch;Silikonschlauch transparent 8x12mm;RC-S4
MAT01731112;Schlauch, Pneumatik;801+ -8-BLU-RL bis zu 3 Teilstücke in 10;RC-S3
MAT01731113;Schlauch, Hydraulik;Wasserschlauch DN19 EPDM, Goldschlange 1;RC-S2
MAT01731114;Leitung;CF900.13.114 L= 37m;RC-L4
MAT01731115;Schlauch, Hydraulik;Hydraulikschlauch;RC-S2
MAT01731116;Stecker;Leiterplattenstecker 16Pol schraub;RC-K2
MAT01731117;Gehäuse;KGS-MSTB2,5/16;RC-K2
MAT01731118;Silikonschlauch;Silikonschlauch transparent 8x10mm;RC-S6
MAT01731119;Trommel;Typ IV 2000x455x1200 / var. Abteilkr. Mi;RC-D5
MAT0173112;Steckverbinder;Kabelstecker mit Schirmring , 12pol.;RC-K2
MAT01731120;Schüttware Kontakt, Buchse siehe MAT0171;Lötkontakt AWG20 für MAT01729105;RC-K6
MAT01731121;Leitung;ÖLFLEX Classic FD 810 25G1 qmm 0026339;RC-L1
MAT01731122;Leitung;ÖLFLEX-FD Classic 810 5G2,5 qmm 0026172;RC-L1
MAT01731123;Leitung;ÖLFLEX-FD Classic 810 4G2,5 qmm 0026171;RC-L1
MAT01731124;Leitung;ÖLFLEX-FD Classic 810 3G2,5 qmm 0026170;RC-L1
MAT01731125;Leitung;ÖLFLEX Classic FD 810 5G1,5 qmm 0026152;RC-L1
MAT01731126;Leitung;ÖLFLEX Classic FD 810 41G1,5 qmm 0026160;RC-L1
MAT01731127;Leitung;ÖLFLEX FD 90 1G16 0026603;RC-L1
MAT01731128;Kabelschuh, Rohr, blank;M5, 6,0qmm;RC-K1
MAT01731129;Konfektionierte e-kette;nach Kundenmuster mit CF900.15.056;RC-D3
MAT0173113;Leitung;LappUnitr.6x2x0,25,Beistellung;RC-L4
MAT01731130;Steckverbinder;Stecker 19 pol. Bu.;RC-K2
MAT01731131;Steckverbinder;Stecker 32 pol. Bu.;RC-K2
MAT01731132;Steckverbinder;Stecker 32 pol. St.;RC-K2
MAT01731133;Sockelgehäuse;Harting Alternative;RC-B2
MAT01731134;Gehäuse;CRIMPGEHÄUSE, 12POL, MINITEK;RC-K3
MAT01731135;Bandware Kontakt;Contact SKT Crimp ST Cable Mount T/R;RC-K6
MAT01731136;Rundsteckhülse;1.5 mm² 2.5 mm² Stift-Ø: 5 mm Vollisolie;RC-K1
MAT01731137;Rundstecker;1.5 mm² 2.5 mm² Stift-Ø: 5 mm Teilisolie;RC-K1
MAT01731138;Gehäuse, Tülle;Seitlich ein zusätzliches M32 Gewinde na;RC-K7
MAT01731139;Beschriftungschilder;PABA WH/23;RC-K8
MAT0173114;Stecker;6SYS9904, Siemens;RC-K2
MAT01731140;Zukaufleitung;nach KAB2297;RC-L1
MAT01731141;Artikel abgekündigt;konf. n. E5.100.024-01 F-Maschine;RC-B1
MAT01731142;Steckerplatte;konf. n. E5.100.026-01 C-Maschine;RC-B1
MAT01731143;Schlauchleitung;301SN-6x14328mm 1CA48-10-6/1CA48-10-6;RC-S1
MAT01731144;Schlauchleitung;301SN-8X14328mm/1CA48-15-8/1CA48-15-8;RC-S1
MAT01731145;Schlauchleitung;301SN-8X13992mm/1CA48-15-8/1CA48-15-8;RC-S1
MAT01731146;Litze;H07V-K, sw, 4mm², verzinnt, 300mm, Flach;RC-L3
MAT01731147;Litze;H07V-K, sw, 4mm², verzinnt, 110mm, Flach;RC-L3
MAT01731148;Schlauchleitung;301SN-6x16729mm 1CA48-10-6/1CA48-10-6;RC-S1
MAT01731149;Schlauchleitung;301SN-8x16729mm/1CA48-15-8/1CA48-15-8;RC-S1
MAT0173115;Stecker, Rundverbinder;R2,5 D6   7,5-14;RC-K2
MAT01731150;Schlauchleitung;301SN-6x12543mm 1CA48-10-6/1CA48-10-6;RC-S1
MAT01731151;Schlauchleitung;301SN-8x12543mm/1CA48-15-8/1CA48-15-8;RC-S1
MAT01731152;Schlauchleitung;ArguflexP315 DN 8 Form 463 AG / AG gerad;RC-S1
MAT01731153;Schlauchleitung;ArguflexP315 DN 8 Form 463 AG / AG gerad;RC-S1
MAT01731154;Schlauchleitung;ArguflexP315 DN 8 Form 463 AG / AG gerad;RC-S1
MAT01731155;Schlauchleitung;ArguflexP315 DN 8 Form 463 AG / AG gerad;RC-S1
MAT01731156;Schlauchleitung;ArguflexP315 DN 8 Form 463 AG / AG gerad;RC-S1
MAT01731157;Halter, Zugentlastung;bestehend aus 042014312 / 0042014313 / 0;RC-B2
MAT01731158;Rinne;Rinne L = 1880mm;RC-B2
MAT01731159;Kantprofil;gemäß Zeichnung;RC-B2
MAT0173116;Stecker, Rundverbinder;Kupplungsdose Serie 423 , 5pol,PG9;RC-K2
MAT01731160;Kantprofil;gemäß Zeichnung;RC-B2
MAT01731161;Kantprofil;gemäß Zeichnung;RC-B2
MAT01731162;Blech bearbeitet;gemäß Zeichnung;RC-B2
MAT01731163;Kantprofil;gemäß Zeichnung;RC-B2
MAT01731164;Blech bearbeitet Form 307;gemäß Zeichnung;RC-B2
MAT01731165;Festverrohrung;EN 10305-4 E235+N, Cr6-frei, einerseits;RC-S6
MAT01731166;Festverrohrung;EN 10305-4 E235+N, Cr6-frei, einerseits;RC-S6
MAT01731167;Festverrohrung;EN 10305-4 E235+N, Cr6-frei, einerseits;RC-S6
MAT01731168;Festverrohrung;EN 10305-4 E235+N, Cr6-frei, einerseits;RC-S6
MAT01731169;Festverrohrung;EN 10305-4 E235+N, Cr6-frei, einerseits;RC-S6
MAT0173117;Gehäuse;Flanschgeh. , 7pol , für Stiftkontakte;RC-K3
MAT01731170;Festverrohrung;Festverrohrung vormontiert mit ÜWM M08LX;RC-S6
MAT01731171;Festverrohrung;Festverrohrung vormontiert mit ÜWM M08LX;RC-S6
MAT01731172;Einlochdose;12pol Stift UT071412PH, Bayonet;RC-K2
MAT01731173;siehe MAT01713984;Crimp, AWG24-26;RC-K6
MAT01731174;Schüttware siehe MAT01713986;Doppler;RC-K6
MAT01731175;Stecker, Leiterplatten;PC 5/2-G-7,62;RC-K2
MAT01731176;Stecker;MIL gerade, 4 Pol. Buchse, Gewinde;RC-K2
MAT01731177;Stecker;10 pol. Buchse, Löt mit Zugentlastung;RC-K2
MAT01731178;623 Verschlussstopfen;für ST, mit Kabelbinder;RC-K11
MAT01731179;623 Verschlusskappe;für Kupplung und Dose;RC-K11
MAT0173118;Schüttware Kontakt, Stift;Stiftkontakte,einteil. Gestanzt, 0,3qmm;RC-K6
MAT01731180;Leistungsleitung;6FX 8002-5DN05 L= 8,3m;RC-L1
MAT01731181;Geberleitung;6FX 8002-2DC20 L= 8,3m;RC-L1
MAT01731182;Beschriftungschilder;PABA WH/23;RC-K8
MAT01731183;Kabehlhülse;Glasseidenschlauch d=12mm (Rolle mit 5m);RC-K2
MAT01731184;Kabelschuh, Ring, blank;M8, 35qmm, 45° gewinkelt;RC-K1
MAT01731185;Leitung;Kundebeistellung;RC-L4
MAT01731186;Leitung;Kundebeistellung;RC-L4
MAT01731187;Leitung;Kundebeistellung;RC-L4
MAT01731188;Wasserschlauch;Kundenbeistellung - 3100mm;RC-S5
MAT01731189;Schlauchleitung;H-LTG-DIN*8L*8L*3400*6*1-DKO;RC-S1
MAT0173119;Mutter, Überwurf-;NW8,5 für MAT0173121;RC-A5
MAT01731190;Schlauchleitung;Schmierleitung-DIN*8*3570*AF*VS;RC-S1
MAT01731191;Schlauchleitung;H-LTG-DIN*12L*12L*3300*10*1-DK;RC-S1
MAT01731192;Zugentlastungsblock;DMG:3074486 RC-62296-03;RC-A1
MAT01731193;Schildersatz;DMG:3074486 MAT90479631;RC-A3
MAT01731194;Stecker, Leiterplatten;PC5/3-STF1-7,62 GY RAE;RC-K2
MAT01731195;Blech;Zwischenplatte Aluminium;RC-B1
MAT01731196;Schlauch,Pneumatik;Industriewasserschlauch DN25x5;RC-S3
MAT01731197;Schlauch,Hydraulik;Niederdruckschlauch SAE100 R6 DN10 schw.;RC-S2
MAT01731198;Taschenlampe;incl. Druck FR readycable.fr;RC-D3
MAT01731199;Steckverbinder;FH-Gehäuse, Buchse, 6-polig;RC-K2
MAT0173120;Dichteinsatz;Klemmdichtring NW8,5 für MAT0173121;RC-K7
MAT01731200;Zugentlastungsblock;DMG:3072975 RC-62234-03;RC-A1
MAT01731201;Schildersatz;DMG:3072975 MAT90479660;RC-A3
MAT01731202;Konfektionierte Leitung;MAPAL DMG:3074252 9,5m  d=10mm;RC-L1
MAT01731203;Konfektionierte Leitung;MAPAL DMG:3074251 9,5m d=9mm;RC-L1
MAT01731204;CFBUS.001-P5-M12-BG-2,5 B-Codiert;WAKBSW2.012-2,5-WASBSW2.012/S2559, 2,5m;RC-L1
MAT01731205;Steckverbinder;Kabeldose, gerade, 19-polig, Buchse, Ser;RC-K2
MAT01731206;Gehäuse, Buchse;BUCHSENGEHÄUSE, SIL, 3POL, Mini-Fit  39-;RC-K3
MAT01731207;Schlauchleitung;301SN-6 L=10259mm,1CA48-12-6CF,1CA48-12-;RC-S1
MAT01731208;Schlauchleitung;301SN-6 L=15537mm,1CA48-12-6CF,1CA48-12-;RC-S1
MAT01731209;Schlauchleitung;837BM-6-BLK-RL-16710mm;RC-S1
MAT0173121;Stecker, Rundverbinder;5pol Stiftgehäuse , aus PA6;RC-K2
MAT01731210;Schlauchleitung;301SN-5x16,26m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731211;Schlauchleitung;837BM-6-BLK-RL-20190mm;RC-S1
MAT01731212;Schlauchleitung;301SN-5x19,74m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731213;Schlauchleitung;837BM-6-BLK-RL-21400mm;RC-S1
MAT01731214;Schlauchleitung;301SN-5x20,95m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731215;PU-Klemmplatte;Zg.Nr: 63689.3;RC-A1
MAT01731216;PU-Klemmplatte;Zg.Nr: 63716.3;RC-A1
MAT01731217;Schlauchleitung;Schlauch Form 574, 6,16m, Ruthmann, 0511;RC-S1
MAT01731218;Blech;Blech bearbeitet;RC-B2
MAT01731219;Flansch;Flanschset RJ45 Modul A Cat.6A;RC-K2
MAT0173122;Schüttware Kontakt, Stift;Kontakte 0,5qmm für MAT0173121;RC-K6
MAT01731220;Schlauchleitung;837BM-6-BLK-RL-10980mm;RC-S1
MAT01731221;Schlauchleitung;301SN-5x10,53m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731222;Schlauchleitung;837BM-6-BLK-RL-11780mm;RC-S1
MAT01731223;Schlauchleitung;301SN-5x11,33m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731224;Schlauchleitung;837BM-6-BLK-RL-14480mm;RC-S1
MAT01731225;Schlauchleitung;301SN-5x12,94m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731226;Schlauchleitung;837BM-6-BLK-RL-15400mm;RC-S1
MAT01731227;Schlauchleitung;301SN-5x14,95m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731228;Scheibe, Zentrier;052-8509-002 für MAT0173117;RC-K11
MAT01731229;Steckergehäuse;MGK2VB10-14+MGK2R-M25;RC-K3
MAT0173123;Schüttware Kontakt, Buchse;Lötkont. Signal  Gr.16 für INS172/25;RC-K6
MAT01731230;Leitung umspritzt;CF240.03.04 umspritzt, mit M8 4pol. Bu,z;RC-L1
MAT01731231;Konfektionierte e-kette;n.Kndmuster mit CF900.15.056 (DIN47100)-;RC-D3
MAT01731232;Werkzeug;RC-Z2099, Rohrschlüssel für Kabelsteckve;RC-D1
MAT01731233;Konfektionierte Leitung;4pol Bu / St umspritzt 36000mm Kundenbei;RC-L4
MAT01731234;Schlauch, Kühlung;Kühlschlauch, 19x3,5 - DN19;RC-S6
MAT01731235;Schlauchleitung;TBF206-11080mm-bds.DKOL8;RC-S1
MAT01731236;Schlauchleitung;TBF208-11080mm-bds.DKOL10;RC-S1
MAT01731237;Schlauchleitung;TE210B-12080mm-bds.DKOL12;RC-S1
MAT01731238;Schlauch Pneumatik;PU Rohr 5,5x8 gelb;RC-S3
MAT01731239;Schlauch Pneumatik;PUN-H-14x2-NT;RC-S3
MAT0173124;CFIni-P3-M8-BG-3;M8,3pol.,Bu,gerade, einseitig, 3m;RC-L2
MAT01731240;Schlauchleitung;TBF210-19080mm-bds.DKOL12;RC-S1
MAT01731241;Schlauchleitung;TE210B-17080mm-bds.DKOL12;RC-S1
MAT01731242;Trommel;Typ I 2300x940x600  / mit Hebeöse und ei;RC-D5
MAT01731243;siehe MAT0179473;Leistung M23 Gr. 1  11-17mm  ohne Einsat;RC-K3
MAT01731244;siehe MAT01730991;Einsatz Buchse 12 Pol;RC-K5
MAT01731245;Steckverbinder;M23, 12-pol, Buchse, rechtsdreh., 5mm…13;RC-K2
MAT01731246;D-Sub-Steckverbinder;mit Leiterplattenanschluß, gewinkelt, 25;RC-K5
MAT01731247;D-Sub-Steckverbinder;mit Leiterplattenanschluß, gerade, 25pol;RC-K5
MAT01731248;Konfektionierte e-kette;n.Kndmuster mit 3M Ltg.-standard;RC-D3
MAT01731249;Schlauch HS BPN 145bars 34/04;d=17mm,Beistellung;RC-S5
MAT0173125;CFIni-P3-M8-BG-5;M8,3pol.,Bu,gerade, einseitig, 5m;RC-L2
MAT01731250;Schlauchleitung;PHD225x9610 AOS inkl. Prüfzeugnis;RC-S1
MAT01731251;Transportkiste;Innen 1200mm x 1200mm x 400mm,500kg, ISP;RC-D5
MAT01731252;Kupplung,Rundverbinder;Signal, 26-pol, E-Teil,Kabelkl.14-17mm o;RC-K2
MAT01731253;Verbindungsleitung;M12 St.0°/ M12 Bu.0°geschirmt B-cod.Prof;RC-L1
MAT01731254;Verbindungsleitung;M12 St.0°/ M12 Bu.0°geschirmt B-cod.Prof;RC-L1
MAT01731255;Stecker , Panelmontage;Molex 18 Kont. Herstellerteilenummer: 43;RC-K2
MAT01731256;Schlauchleitung;1006-K-A05-A05-2870P 27093164;RC-S1
MAT01731257;MURR-Leitung;MSUD DV 10m;RC-L1
MAT01731258;Druckschraube;PG16 Druckschraube;RC-K7
MAT01731259;Dichteinsatz;PG16 KAD 6,5-9,5mm LSR Dirchteinsatz;RC-K7
MAT0173126;CFIni-P3-M8-BG-7;M8,3pol.,Bu,gerade, einseitig, 7m;RC-L2
MAT01731260;Rändelschraube;Rändelschraube 4-40UNC mit Kunststoffkap;RC-K7
MAT01731261;Schlauchleitung;2SN DN6x7000mm, 2 DKOL8-M14x1,5;RC-S1
MAT01731262;Stecker;Stiftleiste mit Befestigungsflanschen 2-;RC-K2
MAT01731263;Stecker;KUNDENBEISTELLUNG;RC-K3
MAT01731264;Steckverbinder;KUNDENBEISTELLUNG;RC-K3
MAT01731265;Kundenbeistellung;LX660-4077-T297 FANUC ((2x0,5)+5x0,5)C +;RC-L4
MAT01731266;siehe MAT0177022;HAN 3A-gg;RC-K3
MAT01731267;Schlauchleitung;2SN-32-B5B5, 32.150P, L=32150mm, Bds. Dk;RC-S1
MAT01731268;Rundstecker;4pol. Stift, gerade, Lötkontakte;RC-K2
MAT01731269;Rundstecker;5pol. Stift, gerade, Lötkontakte;RC-K2
MAT0173127;CFIni-P3-M8-BW-3;M8,3pol.,Bu,gewinkelt, einseitig, 3m;RC-L2
MAT01731270;Isolierkörper 723;7+3pol., Stift, Code 2, inkl. E- Feder;RC-K5
MAT01731271;Werkzeug;Crimpzange CHT-Trident AWG 16-80;RC-D1
MAT01731272;Werkzeug;Crimpzange CHT-Trident AWG 14;RC-D1
MAT01731273;Gehäuse, Tülle;Han 16B-kg-QB-21;RC-K3
MAT01731274;Bezeichnungsschild;BS5, beschriftet mit 127W4;RC-K8
MAT01731275;Bezeichnungsschild;BS5, beschriftet mit 127W2;RC-K8
MAT01731276;Bezeichnungsschild;BS5, beschriftet mit 127W8;RC-K8
MAT01731277;Bezeichnungsschild;BS5, beschriftet mit 127W6;RC-K8
MAT01731278;Bezeichnungsschild;BS5, beschriftet mit 281W2;RC-K8
MAT01731279;Bezeichnungsschild;BS5, beschriftet mit 282W2;RC-K8
MAT0173128;CFIni-P3-M8-BW-5;M8,3pol.,Bu,gewinkelt, einseitig, 5m;RC-L2
MAT01731280;Bezeichnungsschild;BS5, beschriftet mit 125W4;RC-K8
MAT01731281;Bezeichnungsschild;BS5, beschriftet mit 125W2;RC-K8
MAT01731282;Bezeichnungsschild;BS5, beschriftet mit 125W8;RC-K8
MAT01731283;Bezeichnungsschild;BS5, beschriftet mit 125W6;RC-K8
MAT01731284;Bezeichnungsschild;BS5, beschriftet mit 283W2;RC-K8
MAT01731285;Bezeichnungsschild;BS5, beschriftet mit 284W2;RC-K8
MAT01731286;Bezeichnungsschild;BS5, beschriftet mit 12W11;RC-K8
MAT01731287;Bezeichnungsschild;BS5, beschriftet mit 12W5;RC-K8
MAT01731288;Bezeichnungsschild;BS5, beschriftet mit 12W8;RC-K8
MAT01731289;Bezeichnungsschild;BS5, beschriftet mit 104W7;RC-K8
MAT0173129;CFIni-P3-M8-BW-7;M8,3pol.,Bu,gewinkelt, einseitig, 7m;RC-L2
MAT01731290;Gehäuse, Stecker;Winkelstecker, 10-14mm;RC-K3
MAT01731291;ReadyChainRack;Reichenbacher ECO RS3;RC-D5
MAT01731292;Schlauchleitung;301SN-4x1,97m1CA48-10-4/1CA48-10-4;RC-S1
MAT01731293;Schlauchleitung;837BM-6-BLK-RL-8570mm;RC-S1
MAT01731294;Schlauchleitung;301SN-5x8,12m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731295;Schlauchleitung;837BM-6-BLK-RL-11870mm;RC-S1
MAT01731296;Schlauchleitung;837BM-6-BLK-RL-6830mm;RC-S1
MAT01731297;Schlauchleitung;301SN-5x6,38m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731298;Schlauchleitung;301SN-6 2SN10x16323,1CA48-12-6CF,1CA48-1;RC-S1
MAT01731299;Schlauchleitung;301SN-8 2SN12x16323,1CA48-15-8CF,1CA48-1;RC-S1
MAT0173130;CFIni-P4-M12-BG-10;M12,4pol.,Bu,gerade, beids, 10m;RC-L2
MAT01731300;Einbaudose;mit12pol,P-Teil,Intercontec, ohne Kontak;RC-K2
MAT01731301;Schlauchleitung;Hydraulikschlauch 441-6;RC-S1
MAT01731302;Schlauchleitung;Hydraulikschlauch 441-6;RC-S1
MAT01731303;Schlauchleitung;Hydraulikschlauch 441-8;RC-S1
MAT01731304;Schlauchleitung;Hydraulikschlauch 441-4;RC-S1
MAT01731305;Schlauchleitung;Hydraulikschlauch 441-6;RC-S1
MAT01731306;Ventilleitung;MSUD Doppelventilst. BF A18mm, L=20m;RC-L1
MAT01731307;Schlauchleitung;2SN DN10x16365mm DKOL12/DKOL12 gerade;RC-S1
MAT01731308;Buchsenleiste;B2L 3.50/06/180F SN BK BX;RC-K2
MAT01731309;Schlauchleitung;Hydraulikschlauch DN25 2TE EN 854;RC-S6
MAT0173131;CFIni-P4-M12-BG-3;M12,4pol.,Bu,gerade, einseitig, 3m;RC-L2
MAT01731310;Schlauchleitung;Hydraulikschlauch DN12 2TE EN 854;RC-S6
MAT01731311;Schlauchleitung;Hydraulikschlauch DN10 2TE EN 854;RC-S6
MAT01731312;Schlauchleitung;Hydraulikschlauch DN10 2TE EN 854;RC-S6
MAT01731313;Schlauchleitung;Hydraulikschlauch DN10 2TE EN 854;RC-S6
MAT01731314;Schlauchleitung;837BM-6-BLK-RL-13090mm;RC-S1
MAT01731315;Schlauchleitung;301SN-5x12,64m1CA48-10-5/1CA48-10-5;RC-S1
MAT01731316;Schlauchleitung;837BM-6-BLK-RL-13470mm;RC-S1
MAT01731317;Schlauch Pneumatik;PA 6x4 grün;RC-S3
MAT01731318;Kundenbeistellung;Rauscher (6x0,25)C OD 5mm;RC-L4
MAT01731319;Schlauchleitung;301SN-6x13262mm 1CA48-12-6/1CA48-12-6;RC-S1
MAT0173132;CFIni-P4-M12-BG-5;M12,4pol.,Bu,gerade, einseitig, 5m;RC-L2
MAT01731320;Gehäuse, Durchführung;SpringTec Serie 915, Leistung;RC-K3
MAT01731321;Zugentlastungsblock;DMG2958158 Zg:RC-62747-03;RC-A1
MAT01731322;Schildersatz;DMG2958158 MAT90480255;RC-A3
MAT01731323;Schrumpfschlauch o. Kleber;orange 6,4 auf 3,2mm Box a 12 m;RC-K8
MAT01731324;siehe MAT01730604;Multicontact,Stiftgehäuse M32;RC-K3
MAT01731325;Isolierkörper;Stifteinsatz +Kontakte 0,5-1,5 ME3-24+PE;RC-K5
MAT01731326;Stecker;KUNDENBEISTELLUNG;RC-K2
MAT01731327;Schlauchleitung;Parker 471TC-6 DN10x1790mm, 1CA48-12-6/1;RC-S2
